@relation adjacencyProb_clustered

@attribute Instance_number numeric
@attribute id {166-140,166-427-2,166-382,166-457,166-152-8,166-538,166-156,166-152-16,166-573,166-125,166-575,166-152-18,166-262,166-152-7,166-578,166-152-14,166-152-15,166-144-9,166-475,166-102,166-152-11,166-185,166-223,166-323,166-144-15,166-307,166-144-17,166-363,166-144-11,166-246,166-208,166-280,166-152-10,166-587,166-589,166-411,166-152-17,166-489,166-311,166-179,166-385A,166-325,166-483,166-457C,166-152-12,166-152-9,166-262-o2,166-262-o1,166-423,166-131,166-278,166-272,166-429,166-226-o2,166-205F,166-226-o1,166-333,166-373,166-234,166-448,166-152-13,166-144-7,166-427,166-144-12,166-572,166-282,166-305,166-144-14,166-215C,166-341,166-205,166-226-o3}
@attribute 166-140 numeric
@attribute 166-427-2 numeric
@attribute 166-382 numeric
@attribute 166-457 numeric
@attribute 166-152-8 numeric
@attribute 166-538 numeric
@attribute 166-156 numeric
@attribute 166-152-16 numeric
@attribute 166-573 numeric
@attribute 166-125 numeric
@attribute 166-575 numeric
@attribute 166-152-18 numeric
@attribute 166-262 numeric
@attribute 166-152-7 numeric
@attribute 166-578 numeric
@attribute 166-152-14 numeric
@attribute 166-152-15 numeric
@attribute 166-144-9 numeric
@attribute 166-475 numeric
@attribute 166-102 numeric
@attribute 166-152-11 numeric
@attribute 166-185 numeric
@attribute 166-223 numeric
@attribute 166-323 numeric
@attribute 166-144-15 numeric
@attribute 166-307 numeric
@attribute 166-144-17 numeric
@attribute 166-363 numeric
@attribute 166-144-11 numeric
@attribute 166-246 numeric
@attribute 166-208 numeric
@attribute 166-280 numeric
@attribute 166-152-10 numeric
@attribute 166-587 numeric
@attribute 166-589 numeric
@attribute 166-411 numeric
@attribute 166-152-17 numeric
@attribute 166-489 numeric
@attribute 166-311 numeric
@attribute 166-179 numeric
@attribute 166-385A numeric
@attribute 166-325 numeric
@attribute 166-483 numeric
@attribute 166-457C numeric
@attribute 166-152-12 numeric
@attribute 166-152-9 numeric
@attribute 166-262-o2 numeric
@attribute 166-262-o1 numeric
@attribute 166-423 numeric
@attribute 166-131 numeric
@attribute 166-278 numeric
@attribute 166-272 numeric
@attribute 166-429 numeric
@attribute 166-226-o2 numeric
@attribute 166-205F numeric
@attribute 166-226-o1 numeric
@attribute 166-333 numeric
@attribute 166-373 numeric
@attribute 166-234 numeric
@attribute 166-448 numeric
@attribute 166-152-13 numeric
@attribute 166-144-7 numeric
@attribute 166-427 numeric
@attribute 166-144-12 numeric
@attribute 166-572 numeric
@attribute 166-282 numeric
@attribute 166-305 numeric
@attribute 166-144-14 numeric
@attribute 166-215C numeric
@attribute 166-341 numeric
@attribute 166-205 numeric
@attribute 166-226-o3 numeric
@attribute Cluster {cluster0,cluster1}

@data
10,166-575,0.000911,0.007512,0.005919,0.013658,0,0.037332,0.000911,0,0.040747,0.000228,0.618939,0,0.000911,0,0.020487,0.000228,0,0.000228,0.030503,0.001366,0,0.002049,0.002049,0.000228,0,0.000683,0,0.000228,0,0.000683,0.000455,0.001821,0,0.032097,0.006601,0.003415,0,0.003642,0.000228,0.000911,0.002049,0.000683,0.079672,0.000683,0,0,0.002959,0.001366,0.006829,0.001593,0,0,0.004097,0.000683,0,0.000228,0.000455,0.000455,0.000455,0.02026,0,0,0.000683,0,0.02026,0.0173,0.001138,0,0,0.000455,0.001821,0.000911,cluster1
11,166-152-18,0.161458,0,0,0,0,0,0.09375,0,0,0,0,0.416667,0.015625,0,0,0,0,0.036458,0,0,0,0,0,0,0,0,0,0.010417,0.005208,0.041667,0,0,0,0,0,0,0.005208,0.005208,0,0,0,0,0.005208,0,0,0,0.015625,0.057292,0,0.005208,0,0,0,0,0,0,0,0,0.052083,0,0.010417,0,0,0.005208,0,0.010417,0.005208,0.005208,0,0.03125,0.005208,0,cluster1
12,166-262,0.018868,0,0.006059,0.013675,0.001039,0.000346,0.034274,0.000346,0.000519,0.001039,0.000519,0.000519,0.58629,0,0,0.001558,0,0.002943,0.014367,0.001212,0,0.000866,0.00225,0.000173,0,0.000692,0.000173,0.016271,0,0.0296,0.000519,0.001731,0.000692,0,0.000173,0.001558,0.000173,0.000346,0,0.000173,0.003462,0.000692,0.000692,0.00225,0.000173,0,0.029081,0.072356,0.001731,0.003808,0.015233,0.063182,0.000692,0.001212,0.000692,0.004501,0.002943,0.016618,0.013848,0.001731,0,0,0,0.000866,0.001039,0.007097,0.000519,0.002423,0.000519,0.009174,0.002077,0.002423,cluster1
13,166-152-7,0,0,0,0,0.002475,0,0,0.003713,0,0,0,0,0,0.610149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001238,0,0,0,0,0,0,0,0,0,0,cluster0
14,166-578,0.001531,0.016845,0.02144,0.027565,0,0.032159,0,0,0.024502,0.001531,0.117917,0,0,0,0.511485,0,0,0,0.009188,0.001531,0.001531,0,0.001531,0.001531,0,0,0,0.001531,0,0.006126,0,0.003063,0,0.018377,0.009188,0.001531,0,0.003063,0,0,0.006126,0,0.029096,0.003063,0,0,0.004594,0.001531,0.001531,0.001531,0,0,0.013783,0,0.001531,0.003063,0,0.003063,0.004594,0.04441,0,0,0.001531,0,0.036753,0.015314,0.001531,0,0,0.009188,0,0.004594,cluster1
15,166-152-14,0.005199,0,0,0.003058,0.005505,0,0.008869,0.000612,0,0,0,0.000612,0.003976,0,0,0.593578,0.162385,0.005505,0,0,0,0,0,0,0,0,0.000917,0.001223,0,0.002141,0,0,0,0,0,0.000306,0.000306,0,0,0,0,0,0,0.000306,0.000917,0,0.001835,0.006728,0,0,0.000306,0,0,0,0,0.000612,0,0,0.001835,0,0.189297,0,0,0.000917,0,0,0,0.000612,0,0.002446,0,0,cluster0
16,166-152-15,0.000583,0,0,0,0.361516,0,0,0.001166,0,0,0,0.000583,0,0,0,0.000583,0.620991,0.002332,0,0,0,0,0,0,0.000583,0.000583,0,0,0,0.001166,0,0.000583,0,0,0,0,0,0,0,0.000583,0,0,0,0,0,0,0,0.001749,0,0,0,0,0,0,0,0.000583,0,0,0.000583,0,0.000583,0.001749,0,0.002915,0,0,0,0.000583,0,0,0,0,cluster0
17,166-144-9,0.017798,0.000477,0.000159,0.000953,0.000636,0,0.005085,0.002543,0,0.000636,0.000318,0.000318,0.000953,0,0,0.00143,0.001271,0.697601,0.000159,0.001748,0,0.000636,0.001112,0,0.006515,0.000159,0.013984,0.000159,0.003655,0.004449,0.000159,0.002384,0,0,0,0,0.000636,0.000477,0,0.004132,0.000953,0.000477,0.000159,0.000159,0,0,0.002543,0.002701,0.000159,0.001589,0.000318,0.000636,0.000318,0.000477,0.000159,0.000953,0.000795,0.000318,0.003178,0.000636,0.000159,0.003178,0.000159,0.031781,0,0.000795,0,0.173367,0,0.002225,0.000159,0.001112,cluster0
18,166-475,0,0.007124,0.016487,0.048036,0,0.001425,0.000611,0,0.018522,0.000407,0.025036,0,0.029514,0,0.000204,0,0,0,0.662732,0.000407,0,0.000814,0.000204,0,0,0.000407,0.000204,0.038266,0,0.000814,0.000204,0.000204,0,0.000611,0.000814,0.004885,0,0.007938,0.001018,0,0.00285,0.001018,0.014044,0.010788,0.000204,0,0.005699,0.003257,0.007124,0.000204,0.000204,0.001628,0.00285,0.000814,0.000407,0.001221,0.001221,0.035823,0.002035,0.00977,0,0,0.001628,0,0.025239,0.001832,0.000611,0,0,0.000814,0.000611,0.001221,cluster0
19,166-102,0.055682,0.009899,0.000928,0.000722,0,0.007115,0.004331,0,0.000206,0.016292,0.000516,0.000103,0.000825,0,0.000103,0,0,0.000928,0.000206,0.668591,0,0.02815,0.005981,0.000309,0.000206,0.000619,0.002578,0.000516,0.000103,0.004434,0.005568,0,0,0.000619,0.002269,0.007837,0,0.018973,0.002165,0.001959,0.001753,0.001856,0.000103,0.000619,0,0,0.003815,0.005465,0.019489,0.038565,0.000412,0.000103,0.007218,0.001237,0.000722,0.001959,0.002165,0.000412,0.026707,0.002475,0,0.000103,0.002165,0.000722,0.000103,0.002681,0.009177,0.000928,0.000103,0.003506,0.01423,0.002475,cluster0
20,166-152-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611966,0,0,0,0,0,0,0,0,0,0,0,0.386325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000855,0,0,0,0.000855,0,0,0,0,cluster0
21,166-185,0.086032,0.014845,0.00135,0.001012,0,0.020918,0.00641,0.000337,0.000675,0.016869,0.003711,0,0.000675,0,0.000337,0,0,0.001012,0.001012,0.089406,0,0.348516,0.007422,0.001687,0.000675,0.002024,0.00776,0,0.000675,0.001687,0.011134,0.000337,0,0.001012,0.009447,0.009109,0,0.041835,0.004386,0.03475,0.007085,0.000337,0.00135,0.000337,0,0,0.005061,0.005735,0.025978,0.08502,0.000675,0.000337,0.003036,0,0.00776,0.001687,0.007085,0.000337,0.037112,0.003036,0,0,0.002699,0.012483,0,0.003036,0.020243,0.005735,0.000675,0.007422,0.026991,0.001687,cluster0
22,166-223,0.011976,0.006562,0.00123,0.001066,0.000082,0.005578,0.002543,0,0.000082,0.02305,0.000656,0,0.001148,0,0.000082,0,0,0.000492,0.000984,0.00566,0,0.000984,0.547125,0.005168,0.000246,0.002543,0.000328,0.00041,0.000082,0.002789,0.019112,0.000984,0,0.000164,0.001148,0.005168,0,0.005988,0.002543,0.000082,0.003117,0.031827,0.000738,0.000246,0,0,0.0073,0.009187,0.011156,0.002871,0.001641,0.00041,0.009597,0.034452,0.001969,0.009515,0.025429,0.000082,0.081207,0.001312,0,0,0.001805,0.000738,0.000246,0.006152,0.013781,0.000164,0.005988,0.00484,0.023378,0.054795,cluster0
23,166-323,0.003276,0.009009,0.000819,0.000819,0,0.022113,0.003276,0,0,0.022932,0,0,0.000819,0,0,0,0,0,0.000819,0.000819,0,0.001638,0.07371,0.411957,0,0.009009,0,0,0,0,0.033579,0,0,0,0.004914,0.005733,0,0.022113,0.036036,0,0.005733,0.054873,0.011466,0,0,0,0.006552,0.000819,0.044226,0,0.000819,0,0.020475,0.004095,0.000819,0.004914,0.041769,0,0.011466,0.003276,0,0,0.006552,0.001638,0.000819,0.000819,0.05733,0.000819,0.000819,0.001638,0.006552,0.048321,cluster0
24,166-144-15,0.013986,0,0,0,0,0,0.0005,0,0,0,0,0,0.001499,0,0,0,0,0.012987,0,0.0005,0,0.0005,0.000999,0,0.663337,0.0005,0.010989,0.0005,0.010989,0,0.0005,0.0005,0,0,0,0,0,0.0005,0.0005,0.0005,0,0,0,0,0,0,0.001499,0.001499,0,0.000999,0,0.000999,0,0.001499,0.0005,0.000999,0,0,0.001998,0.000999,0,0.001499,0.000999,0.256743,0,0.0005,0.0005,0.008492,0,0,0,0.0005,cluster0
